stock_id,stock_name,listing_date
8034,榮群,2004-05-06
8038,長園科,2013-11-21
8040,九暘,2007-04-30
8042,金山電,2004-03-22
8043,蜜望實,2003-10-24
8044,網家,2005-01-24
8047,星雲,2004-02-09
8048,德勝,2009-09-08
8049,晶采,2004-02-02
8050,廣積,2003-10-24
8054,安國,2004-11-08
8059,凱碩,2010-03-16
8064,東捷,2006-09-25
8066,來思達,2004-12-24
8067,志旭,2004-04-23
8068,全達,2004-03-25
8069,元太,2004-03-30
8071,能率網通,2003-12-29
8074,鉅橡,2004-01-27
8076,伍豐,2003-12-15
8077,洛碁,2004-12-06
8080,泰霖,2004-05-10
8083,瑞穎,2004-09-23
8084,巨虹,2004-03-08
8085,福華,2004-03-01
8086,宏捷科,2009-06-01
8087,麗升能源,2004-02-25
8088,品安,2004-02-27
8089,康全電訊,2020-09-23
8091,翔名,2004-06-24
8092,建暐,2004-02-02
8093,保銳,2004-12-31
8096,擎亞,2004-07-15
8097,常珵,2004-03-01
8099,大世科,2004-03-29
8102,傑霖科技,2025-12-22
8107,大億金茂,2005-11-15
8109,博大,2005-03-22
8111,立碁,2004-02-09
8121,越峰,2005-02-17
8147,正淩,2013-04-30
8155,博智,2012-12-18
8171,天宇,2011-12-19
8176,智捷,2013-06-25
8182,加高,2006-05-25
8183,精星,2005-03-30
8227,巨有科技,2022-12-20
8234,新漢,2007-06-07
8240,華宏,2005-06-23
8255,朋程,2006-04-25
8272,全景軟體,2024-10-23
8277,商丞,2004-12-27
8279,生展,2016-09-26
8284,三竹,2020-05-18
8289,泰藝,2008-04-24
8291,尚茂,2011-11-29
8299,群聯,2004-12-06
8342,益張,2017-11-23
8349,恒耀國際,2006-03-10
8354,冠好,2004-04-15
8358,金居,2010-09-27
8383,千附,2004-09-10
8390,金益鼎,2008-05-21
8401,白紗科,2010-03-29
8403,盛弘,2011-03-01
8409,商之器,2013-11-25
8410,森田,2011-02-23
8415,大國鋼,2016-09-07
8416,實威,2012-09-19
8421,旭源,2012-11-23
8423,保綠-KY,2012-03-14
8424,惠普,2012-12-18
8426,紅木-KY,2011-12-13
8431,匯鑽科,2015-03-30
8432,東生華,2012-04-30
8433,弘帆,2012-12-19
8435,鉅邁,2012-12-28
8436,大江,2013-09-12
8437,大地-KY,2015-05-06
8440,綠電,2018-03-28
8444,綠河-KY,2015-10-27
8446,華研,2013-12-19
8450,霹靂,2014-10-07
8455,大拓-KY,2016-01-08
8472,納維康,2016-01-11
8477,創業家,2016-10-31
